timestamp,integral_dt,vel_x,vel_y,vel_z
11876000,4000,-0.24890345,0.2130424,-11.763696
11980000,4000,-0.27049014,0.22971722,-12.796837
12076000,4000,-0.28982067,0.24655373,-13.751674
12176000,4000,-0.31025678,0.2635607,-14.745913
12276000,4000,-0.32896113,0.2849083,-15.738026
12376000,4000,-0.3488617,0.3057757,-16.731762
12476000,4000,-0.36796227,0.32746828,-17.731068
12576000,4000,-0.39290947,0.3502128,-18.833384
12680000,4000,-0.4108458,0.36669654,-20.011127
12776000,4000,-0.4280289,0.3799141,-21.086702
12876000,4000,-0.43989497,0.38854623,-22.212988
12976000,4000,-0.45066628,0.3977721,-23.339281
13076000,4000,-0.46192148,0.40855977,-24.466394
13180000,4000,-0.47158563,0.41623658,-25.639082
13280000,4000,-0.48160586,0.4277105,-26.666286
13380000,4000,-0.4923804,0.43745315,-27.565321
13476000,4000,-0.5022719,0.44649956,-28.484144
13576000,4000,-0.5178207,0.45829737,-29.444689
13676000,4000,-0.53146195,0.46771544,-30.38898
13776000,4000,-0.54430395,0.48039782,-31.337337
13876000,4000,-0.558019,0.49284375,-32.29387
13976000,4000,-0.57283515,0.50642467,-33.25215
14076000,4000,-0.587204,0.52130955,-34.20978
14176000,4000,-0.6039947,0.5347498,-35.173805
14276000,4000,-0.6202606,0.5513556,-36.137283
14376000,4000,-0.6348033,0.56807494,-37.106026
14476000,4000,-0.651122,0.5834659,-38.078007
14576000,4000,-0.66966623,0.60049665,-39.04615
14680000,4000,-0.68769735,0.618661,-40.05904
14776000,4000,-0.7067261,0.6370863,-40.990402
14876000,4000,-0.7251118,0.65363395,-41.964897
14976000,4000,-0.7446514,0.6704797,-42.94228
15080000,4000,-0.76283383,0.68832743,-43.956936
15176000,4000,-0.7805956,0.70691985,-44.893192
15280000,4000,-0.7974585,0.72743326,-45.912907
15376000,4000,-0.8191812,0.74183196,-46.85516
15476000,4000,-0.8402672,0.76110166,-47.83522
15580000,4000,-0.85981745,0.78036594,-48.855312
15680000,4000,-0.87689775,0.7975867,-49.83321
15776000,4000,-0.8964067,0.8162649,-50.7742
15880000,4000,-0.91412055,0.836903,-51.802624
15980000,4000,-0.9324853,0.8566866,-52.788773
16080000,4001,-0.9498437,0.87494564,-53.774616
16176000,4001,-0.9698156,0.89143187,-54.720596
16284000,4001,-0.98963785,0.91171813,-55.85164
16380000,4001,-1.006607,0.9296622,-56.945618
16480000,4000,-1.0248286,0.9463837,-58.16269
16580000,4001,-1.0408903,0.9614811,-59.470875
16683999,3999,-1.0531794,0.97817975,-60.9244
16788000,4000,-1.0681305,0.9907793,-62.38177
16884000,4000,-1.0790544,1.0039115,-63.634205
16984000,4000,-1.089981,1.013176,-64.853966
17084000,4000,-1.1017609,1.023733,-66.01765
17184000,4000,-1.1133059,1.0377133,-67.07686
17284000,4000,-1.1247914,1.0498108,-68.05564
17384000,4000,-1.1385416,1.0612823,-68.94096
17488000,4000,-1.1532663,1.0752949,-69.76643
17584000,4000,-1.1665016,1.0867682,-70.53481
17684000,4000,-1.179678,1.0996493,-71.394615
17784000,4000,-1.1945451,1.1124783,-72.285324
17884000,4000,-1.2084255,1.125418,-73.179596
17984000,4000,-1.2247046,1.1389312,-74.09789
18088000,4000,-1.2413999,1.1535991,-75.05479
18188000,4000,-1.2612166,1.1711817,-75.975365
18284000,4000,-1.2799717,1.186861,-76.86628
18384000,4000,-1.2988298,1.2019914,-77.80118
18488000,4000,-1.3189883,1.2192208,-78.77623
18584000,4000,-1.3380119,1.236614,-79.68134
18688000,4000,-1.363992,1.2539902,-80.662735
18788000,4000,-1.3872457,1.2730906,-81.613174
18884000,4000,-1.4064376,1.2926353,-82.52686
18984000,4000,-1.428243,1.3120575,-83.480515
19088000,4000,-1.4492046,1.3310995,-84.47764
19184000,4000,-1.4689605,1.3467182,-85.39893
19288000,4000,-1.492302,1.3683419,-86.39839
19384000,4000,-1.5121865,1.3865211,-87.325615
19488000,4000,-1.534894,1.4079388,-88.331085
19588000,4000,-1.5556638,1.4274107,-89.30064
19684000,4000,-1.5775348,1.446667,-90.22867
19784000,4000,-1.5955712,1.4658284,-91.19602
19888000,4000,-1.6175781,1.4861352,-92.20341
19984000,4000,-1.6368616,1.5069221,-93.13369
20084000,4000,-1.6586077,1.5255625,-94.09972
20184000,4000,-1.6787149,1.5459865,-95.0701
20284000,4000,-1.6992347,1.5653273,-96.03446
20388000,4000,-1.721574,1.5860759,-97.040245
20484000,4000,-1.7414117,1.6046525,-97.97395
20584000,4000,-1.7623875,1.625233,-98.9476
20684000,4000,-1.781402,1.645625,-99.919365
20784000,4000,-1.8013985,1.6664821,-100.895805
20888000,4000,-1.8239787,1.6860687,-101.908104
20984000,4000,-1.8431225,1.7067747,-102.84464
21084000,4000,-1.8639687,1.7279123,-103.81886
21184000,4000,-1.8829598,1.7486621,-104.79487
21288000,4000,-1.9039433,1.7691655,-105.81166
21384000,4000,-1.9224991,1.7865447,-106.74828
21484000,4000,-1.9424046,1.8069391,-107.7228
21584000,4000,-1.9642562,1.8275135,-108.70029
21684000,4000,-1.9853649,1.8480381,-109.678635
21784000,4000,-2.0069718,1.8683246,-110.65432
21884000,4000,-2.0270557,1.8860575,-111.63087
21984000,4000,-2.0477495,1.906124,-112.61014
22084000,4000,-2.0691323,1.9262472,-113.588974
22184000,4000,-2.0899403,1.9462228,-114.56725
22284000,4000,-2.1095483,1.9657034,-115.54811
22384000,4000,-2.1294446,1.9829603,-116.52341
22484000,4000,-2.1486468,2.0013833,-117.50549
22584000,4000,-2.16643,2.0198746,-118.488335
22684000,4000,-2.1878214,2.0380065,-119.469376
22784000,4000,-2.2063038,2.0561404,-120.45225
22888000,4000,-2.2255309,2.0754228,-121.473885
22984000,4000,-2.2449756,2.094026,-122.41937
23084000,4000,-2.2655127,2.1133993,-123.405914
23184000,4000,-2.2847679,2.1322656,-124.39225
23284000,4000,-2.3033776,2.1505568,-125.377144
23384000,4000,-2.3217053,2.1689115,-126.35657
23484000,4000,-2.3398526,2.188164,-127.34121
23584000,4000,-2.3562858,2.205107,-128.32372
23684000,4000,-2.3748937,2.2233067,-129.30502
23784000,4000,-2.392747,2.2401285,-130.28583
23884000,4000,-2.411198,2.256346,-131.26523
23988000,4000,-2.4324083,2.2741632,-132.28755
24088000,4000,-2.450436,2.2896695,-133.27066
24184000,4000,-2.4691513,2.3051333,-134.21323
24284000,4000,-2.4873204,2.3203409,-135.19704
24384000,4000,-2.5069082,2.335141,-136.14699
24484000,4000,-2.524935,2.3549252,-137.0086
24584000,4000,-2.5456855,2.3711307,-137.77528
24684000,4000,-2.5681221,2.3877916,-138.47746
24788000,4000,-2.5909607,2.4084835,-139.28629
24884000,4000,-2.612553,2.4283109,-140.14076
24984000,4000,-2.6384277,2.4491034,-141.11247
25084000,4000,-2.6627355,2.470109,-142.12595
25184000,4000,-2.689747,2.4925456,-143.1264
25284000,4000,-2.7139,2.513941,-144.12685
25384000,4000,-2.7411392,2.5335672,-145.1305
25484000,4000,-2.7654655,2.5559614,-146.13713
25584000,4000,-2.7903059,2.5763495,-147.13507
25684000,4000,-2.815639,2.5979602,-148.13643
25784000,4000,-2.8400965,2.6217196,-149.13348
25884000,4000,-2.8640757,2.6417937,-150.1295
25988000,4000,-2.888296,2.6644573,-151.16582
26084000,4000,-2.9094093,2.6824453,-152.12247
26184000,4000,-2.9319367,2.701469,-153.12064
26284000,4000,-2.955712,2.7220047,-154.11827
26384000,4000,-2.9779623,2.742828,-155.11253
26484000,4000,-2.9987366,2.7639942,-156.10277
26584000,4000,-3.022404,2.7855492,-157.09454
26688000,4000,-3.0449977,2.8074887,-158.12425
26788000,4000,-3.0668132,2.830308,-159.11288
26884000,4000,-3.0870297,2.8498323,-160.06163
26984000,4000,-3.104823,2.8700788,-161.0603
27088000,4000,-3.1276865,2.8944268,-162.08846
27184000,4000,-3.1482215,2.916799,-163.03975
27284000,4000,-3.1664746,2.9380753,-164.02855
27388000,4000,-3.1881702,2.961237,-165.05728
27484000,4000,-3.2075887,2.9827254,-166.00972
27588000,4000,-3.2289462,3.0059645,-167.04266
27684000,4000,-3.2469704,3.0279624,-167.99443
27784000,4000,-3.2670605,3.0499327,-168.98427
27884000,4000,-3.2838414,3.0730212,-169.9785
27984000,4000,-3.3011131,3.0953357,-170.97282
28084000,4000,-3.3199139,3.1171753,-171.96384
28184000,4000,-3.340752,3.1380754,-172.95824
28284000,4000,-3.3608866,3.161089,-173.94937
28384000,4000,-3.377997,3.183405,-174.93507
28488000,4000,-3.4006655,3.2064965,-175.96523
28584000,4000,-3.421068,3.227401,-176.9152
28684000,4000,-3.4386137,3.2471547,-177.90494
28788000,4000,-3.4569566,3.2690015,-178.93588
28884000,4000,-3.473966,3.2922041,-179.88628
28984000,4000,-3.4941583,3.3118837,-180.87392
29088000,4000,-3.5125744,3.3301928,-181.89816
29188000,4000,-3.5309703,3.351908,-182.88834
29284000,4000,-3.5476477,3.3734906,-183.84346
29388000,4000,-3.567697,3.393461,-184.86948
29484000,4000,-3.5858004,3.411158,-185.81674
29588000,4000,-3.607434,3.4326963,-186.84357
29684000,4000,-3.6266115,3.4548538,-187.78938
29784000,4000,-3.6458108,3.4742813,-188.77657
29884000,4000,-3.6631677,3.4935243,-189.76732
29984000,4000,-3.6815777,3.51221,-190.75633
30084000,4000,-3.6983263,3.5315926,-191.74734
30184000,4000,-3.7189286,3.5504286,-192.73808
30284000,4000,-3.7383373,3.567844,-193.72249
30384000,4000,-3.7590759,3.586315,-194.70917
30484000,4000,-3.779233,3.6050045,-195.6964
30584000,4000,-3.7972617,3.626113,-196.68083
30688000,4000,-3.8170748,3.6455123,-197.69963
30784000,4000,-3.835468,3.6631389,-198.6462
30884000,4000,-3.8543928,3.6819952,-199.63213
30984000,4000,-3.8755038,3.699814,-200.62833
31088000,4000,-3.897623,3.7162464,-201.66304
31184000,4000,-3.916576,3.7329822,-202.6162
31284000,4000,-3.9368017,3.7501473,-203.60414
31384000,4000,-3.9554505,3.768302,-204.59354
31488000,4000,-3.9762254,3.7850623,-205.61647
31584000,4000,-3.9939785,3.8008552,-206.56458
31684000,4000,-4.0147424,3.8156033,-207.55276
31788000,4000,-4.037134,3.8343801,-208.58005
31884000,4000,-4.0573425,3.8521614,-209.52718
31984000,4000,-4.0775337,3.8674448,-210.5171
32088000,4000,-4.0975046,3.880673,-211.54424
32184000,4001,-4.1173778,3.8947768,-212.49954
32283999,3999,-4.137288,3.910745,-213.4901
32383999,3999,-4.157371,3.9248805,-214.48076
32487999,3999,-4.178811,3.9422069,-215.51112
32588000,4000,-4.1966114,3.956935,-216.50235
32691999,3999,-4.2179737,3.9711044,-217.53468
32795999,3999,-4.240115,3.986362,-218.5709
32896000,4000,-4.262041,4.0022063,-219.55914
33004000,4001,-4.287135,4.019706,-220.62816
33108000,4001,-4.3089867,4.0330625,-221.65773
33204000,4000,-4.3283496,4.0468354,-222.60706
33307999,3999,-4.349564,4.063317,-223.63515
33411999,3999,-4.373543,4.07848,-224.65927
33512000,4000,-4.3962536,4.0928526,-225.64583
33612000,4000,-4.417432,4.108979,-226.63673
33716000,4000,-4.440842,4.1252923,-227.66385
33812000,4000,-4.4611506,4.1394444,-228.61073
33912000,4000,-4.4840274,4.1545944,-229.60265
34012000,4000,-4.507368,4.1707497,-230.58524
34112000,4000,-4.529799,4.187187,-231.57118
34212000,4000,-4.552968,4.2014546,-232.55019
34316000,4000,-4.575514,4.219249,-233.57315
34412000,4000,-4.598593,4.2345753,-234.5169
34512000,4000,-4.622103,4.251979,-235.50494
34612000,4000,-4.6452956,4.2704196,-236.49564
34712000,4000,-4.6683383,4.29046,-237.48349
34816000,4000,-4.6915555,4.3088613,-238.51224
34912000,4000,-4.7147107,4.324462,-239.46666
35016000,4000,-4.741055,4.34369,-240.50204
35112000,4000,-4.765636,4.361921,-241.45256
35212000,4000,-4.788345,4.381868,-242.45006
35312000,4000,-4.81173,4.40044,-243.44139
35412000,4000,-4.836875,4.4188204,-244.43321
35512000,4000,-4.8625803,4.4384937,-245.42612
35612000,4000,-4.884289,4.4577866,-246.4153
35712000,4000,-4.909147,4.4770384,-247.40811
35816000,4000,-4.934366,4.496353,-248.4462
35916000,4000,-4.9589067,4.514143,-249.441
36016000,4000,-4.985614,4.5358014,-250.43402
36112000,4000,-5.0100904,4.5566664,-251.38878
36216000,4000,-5.034419,4.5789123,-252.42365
36312000,4000,-5.059989,4.5998197,-253.37598
36416000,4000,-5.0855994,4.621402,-254.406
36512000,4000,-5.110856,4.6436334,-255.35692
36616000,4000,-5.1384907,4.665667,-256.37943
36712000,4000,-5.161997,4.6865473,-257.33026
36816000,4000,-5.1901727,4.709281,-258.3631
36916000,4000,-5.215581,4.7306805,-259.35608
37012000,4000,-5.24093,4.751268,-260.3111
37112000,4000,-5.2659154,4.7737947,-261.3029
37216000,4000,-5.292114,4.7978654,-262.33456
37312000,4000,-5.317127,4.817758,-263.286
37412000,4000,-5.343937,4.840455,-264.28372
37512000,4000,-5.370112,4.8617024,-265.2747
37612000,4000,-5.3950624,4.8829823,-266.26385
37712000,4000,-5.4208546,4.905696,-267.25232
37816000,4000,-5.447254,4.930023,-268.27448
37912000,4000,-5.471465,4.952294,-269.22125
38016000,4000,-5.497484,4.9760685,-270.24472
38112000,4000,-5.539189,5.021793,-271.866
38216000,4000,-5.5639086,5.040166,-272.8911
38316000,4000,-5.5863924,5.0601964,-273.8794
38412000,4000,-5.609778,5.0778975,-274.82782
38512000,4000,-5.6333714,5.0970583,-275.81705
38616000,4000,-5.656208,5.118177,-276.842
38712000,4000,-5.677992,5.1371765,-277.78885
38816000,4000,-5.7009172,5.1572137,-278.81317
38916000,4000,-5.7235684,5.1757584,-279.79996
39012000,4000,-5.7444153,5.1945944,-280.74686
39112000,4000,-5.7676845,5.2147527,-281.73517
39192000,4000,-5.786849,5.231135,-282.52527
